CMDLINE /home/drixit/2022Projects/Monte-Python/poetryEnv/.venv/bin/python mainTof.py
MEM 91.554688 1694733804.2518
MEM 91.554688 1694733804.3523
MEM 91.554688 1694733804.4577
MEM 91.554688 1694733804.5616
MEM 91.554688 1694733804.6638
MEM 91.554688 1694733804.7643
MEM 91.554688 1694733804.8693
MEM 91.554688 1694733804.9757
MEM 91.656250 1694733805.0782
MEM 91.656250 1694733805.1786
MEM 91.656250 1694733805.2791
MEM 91.851562 1694733805.3796
MEM 91.851562 1694733805.4801
MEM 91.851562 1694733805.5845
MEM 92.105469 1694733805.6955
MEM 92.105469 1694733805.7969
MEM 92.105469 1694733805.8973
MEM 92.343750 1694733805.9978
MEM 92.343750 1694733806.0982
MEM 92.343750 1694733806.1998
MEM 92.343750 1694733806.3018
MEM 92.343750 1694733806.4023
MEM 92.343750 1694733806.5029
MEM 92.343750 1694733806.6035
MEM 92.343750 1694733806.7108
MEM 92.343750 1694733806.8113
MEM 92.343750 1694733806.9122
MEM 92.343750 1694733807.0126
MEM 92.343750 1694733807.1183
MEM 92.343750 1694733807.2189
MEM 92.343750 1694733807.3210
MEM 92.343750 1694733807.4216
MEM 92.343750 1694733807.5230
MEM 92.558594 1694733807.6235
MEM 92.808594 1694733807.7241
MEM 92.808594 1694733807.8245
MEM 92.910156 1694733807.9250
MEM 94.886719 1694733808.0254
MEM 94.886719 1694733808.1266
MEM 94.886719 1694733808.2275
MEM 94.886719 1694733808.3324
MEM 94.886719 1694733808.4367
MEM 94.886719 1694733808.5384
MEM 94.886719 1694733808.6389
MEM 94.886719 1694733808.7395
MEM 94.886719 1694733808.8423
MEM 94.886719 1694733808.9427
MEM 94.886719 1694733809.0432
MEM 94.886719 1694733809.1438
MEM 94.886719 1694733809.2442
MEM 94.886719 1694733809.3446
MEM 94.886719 1694733809.4450
MEM 94.886719 1694733809.5455
MEM 94.886719 1694733809.6459
MEM 94.886719 1694733809.7463
MEM 94.886719 1694733809.8468
MEM 94.886719 1694733809.9473
MEM 94.886719 1694733810.0478
MEM 94.886719 1694733810.1483
MEM 94.886719 1694733810.2487
MEM 94.886719 1694733810.3500
MEM 94.886719 1694733810.4505
MEM 94.886719 1694733810.5562
MEM 94.886719 1694733810.6604
MEM 94.886719 1694733810.7609
MEM 94.886719 1694733810.8681
MEM 94.886719 1694733810.9694
MEM 94.886719 1694733811.0739
MEM 94.886719 1694733811.1745
MEM 94.886719 1694733811.2774
MEM 94.886719 1694733811.3800
MEM 94.886719 1694733811.4812
MEM 94.886719 1694733811.5819
MEM 94.886719 1694733811.6906
MEM 94.886719 1694733811.8010
MEM 94.886719 1694733811.9062
MEM 94.886719 1694733812.0067
MEM 94.886719 1694733812.1071
MEM 94.886719 1694733812.2076
MEM 94.886719 1694733812.3082
MEM 94.886719 1694733812.4144
MEM 94.886719 1694733812.5149
MEM 94.886719 1694733812.6153
MEM 94.886719 1694733812.7172
MEM 94.886719 1694733812.8176
MEM 94.886719 1694733812.9181
MEM 94.886719 1694733813.0187
MEM 94.886719 1694733813.1202
MEM 94.886719 1694733813.2207
MEM 95.441406 1694733813.3235
MEM 95.441406 1694733813.4252
MEM 95.691406 1694733813.5261
MEM 95.691406 1694733813.6265
MEM 95.691406 1694733813.7271
MEM 95.691406 1694733813.8283
MEM 95.691406 1694733813.9289
MEM 95.691406 1694733814.0326
MEM 95.949219 1694733814.1332
MEM 96.199219 1694733814.2340
MEM 96.457031 1694733814.3344
MEM 96.972656 1694733814.4349
MEM 96.972656 1694733814.5441
MEM 96.972656 1694733814.6473
MEM 96.972656 1694733814.7575
MEM 96.972656 1694733814.8580
MEM 96.972656 1694733814.9584
