time	V(compout)	V(input)
2.657954285714284e-09	1.417067e-01	-6.362323e-01
2.658825142857141e-09	1.417067e-01	-6.138005e-01
2.659695999999998e-09	1.417067e-01	-5.925469e-01
2.663400000000000e-09	1.417067e-01	-5.053039e-01
2.663730000000000e-09	1.417067e-01	-5.008203e-01
2.664170000000000e-09	1.417067e-01	-4.985754e-01
2.664500000000000e-09	1.417067e-01	-4.990340e-01
2.664588000000000e-09	1.417067e-01	-5.003968e-01
2.664764000000000e-09	1.417067e-01	-5.044866e-01
2.665116000000000e-09	1.417067e-01	-5.192422e-01
2.665820000000000e-09	1.417067e-01	-5.669380e-01
2.666400000000000e-09	1.417067e-01	-6.195887e-01
2.666822400000000e-09	1.417068e-01	-6.661489e-01
2.667385600000000e-09	1.417068e-01	-7.219940e-01
2.668512000000000e-09	1.417068e-01	-8.123892e-01
2.670764800000000e-09	1.417068e-01	-9.386508e-01
2.672500000000000e-09	1.417068e-01	-9.995695e-01
2.672590000000000e-09	1.417068e-01	-1.001410e+00
2.672770000000000e-09	1.417068e-01	-1.006620e+00
2.673130000000000e-09	1.417068e-01	-1.021942e+00
2.673400000000000e-09	1.417068e-01	-1.036837e+00
2.673470000000000e-09	1.417068e-01	-1.038450e+00
2.673500000000000e-09	1.417068e-01	-1.037934e+00
2.674084000000000e-09	1.417068e-01	-1.011688e+00
2.674668000000000e-09	1.417069e-01	-9.863046e-01
2.675252000000000e-09	1.417069e-01	-9.617840e-01
2.675836000000001e-09	1.417069e-01	-9.381261e-01
2.676420000000001e-09	1.417069e-01	-9.153309e-01
2.677004000000001e-09	1.417069e-01	-8.933983e-01
2.677588000000001e-09	1.417069e-01	-8.723284e-01
2.681684000000003e-09	1.417070e-01	-7.332990e-01
2.683400000000000e-09	1.417070e-01	-6.807597e-01
2.683430000000000e-09	1.417070e-01	-6.805695e-01
2.683500000000000e-09	1.417070e-01	-6.826056e-01
2.683645142857143e-09	1.417070e-01	-6.913412e-01
2.683790285714286e-09	1.417070e-01	-6.991710e-01
2.683935428571429e-09	1.417070e-01	-7.060949e-01
2.684080571428572e-09	1.417070e-01	-7.121128e-01
2.684225714285715e-09	1.417070e-01	-7.172248e-01
2.684370857142858e-09	1.417070e-01	-7.214309e-01
2.684516000000001e-09	1.417070e-01	-7.247311e-01
2.685540000000001e-09	1.417070e-01	-7.343463e-01
2.686300000000000e-09	1.417070e-01	-7.271995e-01
2.687400000000000e-09	1.417070e-01	-6.953605e-01
2.687664000000000e-09	1.417070e-01	-6.891347e-01
2.688016000000000e-09	1.417070e-01	-6.836531e-01
2.688720000000000e-09	1.417071e-01	-6.825108e-01
2.690128000000000e-09	1.417071e-01	-7.149609e-01
2.692600000000000e-09	1.417071e-01	-8.269026e-01
2.692870000000000e-09	1.417071e-01	-8.401107e-01
2.693230000000000e-09	1.417071e-01	-8.461403e-01
2.693500000000000e-09	1.417071e-01	-8.440072e-01
2.693716000000000e-09	1.417072e-01	-8.380464e-01
2.694004000000000e-09	1.417072e-01	-8.338912e-01
2.694580000000000e-09	1.417072e-01	-8.388695e-01
2.695732000000001e-09	1.417072e-01	-8.799987e-01
2.696300000000000e-09	1.417072e-01	-9.136801e-01
2.697070000000000e-09	1.417072e-01	-9.709120e-01
2.697400000000000e-09	1.417072e-01	-9.931611e-01
2.698016000000000e-09	1.417072e-01	-1.025892e+00
2.698720000000000e-09	1.417072e-01	-1.050698e+00
2.700128000000001e-09	1.417073e-01	-1.064546e+00
2.702600000000000e-09	1.417073e-01	-1.032267e+00
2.704571200000001e-09	1.417073e-01	-9.518911e-01
2.706824000000001e-09	1.417074e-01	-8.710517e-01
2.711329600000003e-09	1.417075e-01	-7.310410e-01
2.715100000000000e-09	1.417076e-01	-6.289138e-01
2.716001120000001e-09	1.417076e-01	-6.159438e-01
2.717803360000001e-09	1.417076e-01	-6.059721e-01
2.721407840000002e-09	1.417077e-01	-6.393788e-01
2.725100000000000e-09	1.417078e-01	-7.217959e-01
2.725776585626195e-09	1.417078e-01	-7.418951e-01
2.727129756878585e-09	1.417079e-01	-7.720610e-01
2.729836099383365e-09	1.417079e-01	-7.886420e-01
2.735100000000000e-09	1.417081e-01	-7.439762e-01
2.736723805502868e-09	1.417081e-01	-7.017761e-01
2.738888879506692e-09	1.417082e-01	-6.513344e-01
2.743219027514340e-09	1.417083e-01	-5.677155e-01
2.751879323529637e-09	1.417086e-01	-4.494313e-01
2.769199915560230e-09	1.417091e-01	-3.089514e-01
2.786023080553644e-09	1.417097e-01	-2.427498e-01
2.810038255035886e-09	1.417107e-01	-2.075591e-01
2.836719674889118e-09	1.417120e-01	-1.926756e-01
2.883081130936034e-09	1.417145e-01	-1.816411e-01
2.925090213022463e-09	1.417173e-01	-1.742441e-01
2.976237779944212e-09	1.417212e-01	-1.659242e-01
3.031316943699479e-09	1.417263e-01	-1.572078e-01
3.094112865864891e-09	1.417332e-01	-1.476257e-01
3.158876122784147e-09	1.417419e-01	-1.381403e-01
3.233307923513019e-09	1.417548e-01	-1.277336e-01
3.315032578390952e-09	1.417744e-01	-1.168979e-01
3.411035920695211e-09	1.418122e-01	-1.049341e-01
3.520765621446129e-09	1.418890e-01	-9.222490e-02
3.651879103288836e-09	1.420377e-01	-7.831761e-02
3.807081922218186e-09	1.422872e-01	-6.353184e-02
3.998145089110766e-09	1.427097e-01	-4.762863e-02
4.237169733201970e-09	1.435039e-01	-3.052547e-02
4.412393212325617e-09	1.478968e-01	-1.973407e-02
4.516281313331669e-09	1.620923e-01	-1.416297e-02
4.618416886169332e-09	1.971511e-01	-9.268803e-03
4.727902002842561e-09	2.599622e-01	-4.568935e-03
4.885121752300550e-09	3.752427e-01	1.413652e-03
5.012073178907775e-09	4.658498e-01	5.658243e-03
5.124241772116931e-09	5.140871e-01	8.907391e-03
5.256203168950414e-09	5.081915e-01	1.220699e-02
5.397207702824422e-09	4.408981e-01	1.525527e-02
5.483289903470377e-09	3.770711e-01	1.685666e-02
5.576322385895496e-09	3.021741e-01	1.833953e-02
5.687670727925102e-09	2.246449e-01	1.986697e-02
5.787829183144920e-09	1.777575e-01	2.102213e-02
5.897041852757928e-09	1.531468e-01	2.206935e-02
5.970254740842422e-09	1.475826e-01	2.264942e-02
6.052977114657338e-09	1.459787e-01	2.317992e-02
6.144316613570599e-09	1.451176e-01	2.361716e-02
6.326995611397121e-09	1.441720e-01	2.411186e-02
6.599538117748779e-09	1.432980e-01	2.414515e-02
7.038552095388890e-09	1.424103e-01	2.308699e-02
7.379995201316855e-09	1.420004e-01	2.159529e-02
7.779954009892160e-09	1.417910e-01	1.937090e-02
8.100598184847497e-09	1.417400e-01	1.747342e-02
8.377453791154470e-09	1.417269e-01	1.585602e-02
8.672239637373225e-09	1.417188e-01	1.424578e-02
9.021281040546822e-09	1.417141e-01	1.254598e-02
9.427693377655284e-09	1.417106e-01	1.086954e-02
9.831784151644822e-09	1.417087e-01	9.525510e-03
1.018808559708487e-08	1.417077e-01	8.632694e-03
1.068500171376284e-08	1.417070e-01	7.752988e-03
1.114258984239877e-08	1.417067e-01	7.246711e-03
1.193377826091775e-08	1.417064e-01	6.800616e-03
1.270802532530769e-08	1.417062e-01	6.601289e-03
1.354042293452598e-08	1.417062e-01	6.478790e-03
1.433110314890811e-08	1.417062e-01	6.310821e-03
1.533110314890811e-08	1.417062e-01	5.969894e-03
1.633110314890811e-08	1.417062e-01	5.512043e-03
1.733110314890811e-08	1.417062e-01	4.983014e-03
1.833110314890811e-08	1.417062e-01	4.437057e-03
1.933110314890811e-08	1.417062e-01	3.910413e-03
2.033110314890811e-08	1.417062e-01	3.420208e-03
2.133110314890810e-08	1.417063e-01	2.970919e-03
2.233110314890810e-08	1.417063e-01	2.561225e-03
2.333110314890810e-08	1.417063e-01	2.188453e-03
2.433110314890810e-08	1.417063e-01	1.850457e-03
2.533110314890810e-08	1.417063e-01	1.545869e-03
2.633110314890810e-08	1.417063e-01	1.273709e-03
2.733110314890810e-08	1.417064e-01	1.032952e-03
2.833110314890810e-08	1.417064e-01	8.222852e-04
2.933110314890810e-08	1.417064e-01	6.400567e-04
3.033110314890810e-08	1.417064e-01	4.843421e-04
3.133110314890810e-08	1.417064e-01	3.530538e-04
3.233110314890810e-08	1.417064e-01	2.440386e-04
3.333110314890811e-08	1.417064e-01	1.551506e-04
3.433110314890811e-08	1.417064e-01	8.429738e-05
3.533110314890811e-08	1.417064e-01	2.946769e-05
3.633110314890811e-08	1.417065e-01	-1.125069e-05
3.733110314890812e-08	1.417065e-01	-3.965962e-05
3.833110314890812e-08	1.417065e-01	-5.744219e-05
3.933110314890812e-08	1.417065e-01	-6.615715e-05
4.033110314890812e-08	1.417065e-01	-6.723565e-05
4.133110314890813e-08	1.417065e-01	-6.198068e-05
4.233110314890813e-08	1.417065e-01	-5.156840e-05
4.333110314890813e-08	1.417065e-01	-3.705166e-05
4.533110314890813e-08	1.417065e-01	6.698864e-07
4.733110314890814e-08	1.417065e-01	4.501568e-05
4.933110314890814e-08	1.417064e-01	9.138788e-05
5.133110314890815e-08	1.417064e-01	1.365195e-04
5.333110314890815e-08	1.417064e-01	1.782360e-04
5.533110314890816e-08	1.417064e-01	2.152315e-04
5.733110314890816e-08	1.417064e-01	2.468690e-04
5.933110314890817e-08	1.417064e-01	2.730062e-04
6.133110314890817e-08	1.417064e-01	2.938492e-04
6.333110314890816e-08	1.417064e-01	3.098331e-04
