time	V(compout)
1.000552239999999e-06	1.417140e-01
1.000554100000000e-06	1.417141e-01
1.000555328800000e-06	1.417141e-01
1.000556967199999e-06	1.417142e-01
1.000560243999999e-06	1.417142e-01
1.000566797599997e-06	1.417144e-01
1.000579904799995e-06	1.417148e-01
1.000592379491083e-06	1.417153e-01
1.000609745570080e-06	1.417159e-01
1.000627804385333e-06	1.417167e-01
1.000655747578382e-06	1.417180e-01
1.000689586086760e-06	1.417199e-01
1.000748855809172e-06	1.417242e-01
1.000841191523006e-06	1.417333e-01
1.000973792507534e-06	1.417525e-01
1.001109033377385e-06	1.417851e-01
1.001225401721119e-06	1.418359e-01
1.001320676056399e-06	1.419082e-01
1.001414471085946e-06	1.420198e-01
1.001598001425982e-06	1.423240e-01
1.001815676750640e-06	1.428171e-01
1.002029760818197e-06	1.452089e-01
1.002212331988780e-06	1.565967e-01
1.002314829898963e-06	1.818174e-01
1.002450268157833e-06	2.522571e-01
1.002575963600408e-06	3.590077e-01
1.002766559509985e-06	5.900112e-01
1.002930170747207e-06	8.359818e-01
1.003070276364980e-06	1.056760e+00
1.003204830676092e-06	1.220973e+00
1.003358316264513e-06	1.291867e+00
1.003520516439621e-06	1.221750e+00
1.003680228248536e-06	1.036667e+00
1.003829529869835e-06	8.036028e-01
1.003974983787805e-06	5.654681e-01
1.004108410841964e-06	3.716598e-01
1.004220008457225e-06	2.524133e-01
1.004330794701052e-06	1.848357e-01
1.004432206552103e-06	1.579135e-01
1.004499952816811e-06	1.513967e-01
1.004584401829266e-06	1.482471e-01
1.004690947495122e-06	1.463709e-01
1.004868325496704e-06	1.448905e-01
1.005102852644864e-06	1.438002e-01
1.005354937049956e-06	1.430522e-01
1.005596099344077e-06	1.425521e-01
1.005813991382084e-06	1.422193e-01
1.006033368430074e-06	1.419745e-01
1.006230881040731e-06	1.418497e-01
1.006625906262045e-06	1.417577e-01
1.006954377778479e-06	1.417318e-01
1.007344529712770e-06	1.417206e-01
1.007840006816468e-06	1.417135e-01
1.008323458479302e-06	1.417102e-01
1.008780435710931e-06	1.417086e-01
1.009491518658779e-06	1.417076e-01
1.010299318400573e-06	1.417072e-01
1.011102309133819e-06	1.417071e-01
1.011892259083504e-06	1.417071e-01
1.012776288481951e-06	1.417071e-01
1.013776288481951e-06	1.417072e-01
1.014776288481951e-06	1.417073e-01
1.015776288481951e-06	1.417075e-01
1.016776288481951e-06	1.417077e-01
